0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,book_name
-0.15297626,0.15579325,-0.28520346,-0.5623246,0.45604828,-0.11701609,0.6800799,-0.37190828,-0.93549377,-0.7472767,0.6391987,0.024964048,-0.4827509,-0.3678672,0.72692347,-0.859797,0.24487548,-0.47861624,0.41370985,0.21925388,0.1719784,0.03359927,0.28053343,-0.48267367,0.23795693,-0.09505493,1.1816635,0.71995014,-0.3784235,-0.114539444,0.775586,0.4625981,1.0879213,-1.1161535,0.7924345,1.0766077,-0.07691158,-0.19142821,-0.9815226,0.36211476,0.36113176,0.13318184,-0.120245725,-0.7519273,0.3929578,-0.67701465,-0.6929817,0.30794486,0.5043348,-0.3935353,Psychotherapy
-0.41916722,0.25656745,-0.5992487,-0.065777116,0.54329544,-0.16157933,0.7036831,0.3983045,-0.48606575,0.322082,-0.573877,0.5243726,-0.027724804,-0.3701098,0.6876003,-0.63711846,-0.14575788,-0.2704388,-0.043249693,0.0116998665,0.030252863,0.41475108,1.4177965,0.4116136,1.3942467,0.10334156,0.40938628,-0.6785541,-0.6744111,0.24913277,-0.7442634,-0.014456626,0.23933788,-0.034906693,0.47333792,-0.91667455,-0.5891303,-0.45173153,0.0057969475,0.59569675,0.546497,-0.22882743,0.16086672,-0.24733937,0.26129448,-0.08868905,-0.07568425,0.18334351,1.1172777,-0.049996044,Household Management
-0.13863759,0.0473243,-0.34504896,-0.08721126,0.8093469,-0.09850606,0.53513914,-0.10336226,-1.0207016,-0.5571818,0.44018352,0.038411986,-0.46703047,-0.48924327,0.44124478,-1.0164158,0.038979214,-0.15720747,0.049817614,0.029368022,-0.19130667,0.2620339,0.523948,-0.44127837,0.27637336,-0.12823991,1.0151814,0.23237953,-0.5901548,-0.034085907,0.6306035,0.122875705,0.36921704,-0.7208878,0.6583879,0.83976734,-0.22102392,-0.25106487,-0.45921633,0.35731235,0.5125324,0.47799316,-0.035899118,-0.5779544,0.14507134,-0.26540813,-0.63308376,0.22442286,0.94531506,-0.27380496,Psychotherapy
0.532747,-0.6325294,-0.099826545,-0.7450189,-1.6626093,1.1025536,0.34086776,0.10691667,-0.13035798,-0.80222625,0.49539405,0.11027278,-0.637507,-0.34847865,1.0194037,0.18050487,0.5956725,0.21924312,0.22446118,0.39878684,0.17347069,-0.7452203,-0.255729,-0.7695874,0.84710395,0.7919004,0.13765723,0.6396044,1.3682501,0.48126993,-0.5634135,-1.3158997,0.7521785,0.28028458,-0.3378644,0.48535198,-0.58719444,-0.8803811,-0.60306656,0.2044156,0.13090776,0.012646221,-0.9089088,-0.34595865,0.13657923,-0.5989866,-0.30392295,0.25253904,-0.71867234,-0.33612385,History
-0.096892215,0.37321633,-0.12926826,0.1803145,0.26654655,0.25215697,0.55728984,-0.38226694,-0.17941885,-0.37487864,0.4217822,-0.016459987,0.3157457,-0.6218319,1.0109286,-0.026347853,-0.24319139,-0.6243293,-0.27212113,0.23510651,-0.42353946,-0.3334791,1.9596932,-1.0749638,1.4089391,0.7809169,-0.15276143,0.23546793,-0.024416732,0.19053261,-0.24682166,0.39753166,0.5953778,-0.99292463,0.7365962,0.056097116,-0.41706073,-0.36196718,0.20089813,-0.67201376,0.26519835,-0.15808786,-0.730041,-0.07501206,-0.37754977,-0.1368974,-0.38326585,0.5245483,1.279212,-0.6393099,Household Management
-0.49665996,0.56832176,-0.34104025,-0.21121325,0.14487575,0.0037492204,-0.25685582,-0.10101954,-0.64428073,-0.46418858,0.19853841,0.053782284,-0.17683807,-1.1629051,0.3792003,-1.7878977,0.34943163,0.19611046,0.14758103,0.4327827,0.49680248,-0.06298285,0.82068086,-1.1475719,0.7839454,-0.10859309,1.2874396,0.5609831,-0.5193541,-0.03330897,0.93179524,-0.4622848,0.69735086,0.034384917,0.31993884,0.30356842,-0.6746368,-0.09826814,-0.32593486,0.39966154,0.52646464,0.45794037,-0.25805146,-0.29184294,0.17721505,-0.12939128,-0.5813785,0.28462747,1.9088635,-0.3421852,Psychotherapy
-0.6067305,0.29571077,-0.4100211,-0.003791133,0.39185375,-0.06381885,0.54503685,-0.49072006,-0.13227893,-0.028205827,-0.029872779,0.15634896,0.12452509,-0.07186204,0.19273648,-0.054725394,-0.5703372,-0.7241297,0.109915756,-0.32089195,-0.026500564,-0.26601806,1.5170687,-0.30201358,0.8221718,0.15009883,0.0019855616,0.12923932,0.09606201,-0.08126755,-0.03305174,0.87705034,0.45915833,-0.8363317,0.5837918,0.08636503,-0.049299788,-0.039595768,-0.2950998,-0.039506104,0.25506458,-0.586618,-0.31701538,0.09889564,-0.06481518,0.03399855,0.14928654,0.23307331,0.54655284,-0.27683514,Household Management
0.29168364,-0.36193866,-0.7850266,-0.5858165,-1.0180721,1.4516922,0.17828572,-0.00018315388,-0.0020480324,-1.1748326,0.8038744,0.5053796,0.3708488,-0.16028571,0.64928156,0.6706161,0.6114571,-0.8202171,0.17790805,-0.15200935,0.40275335,-0.47730592,0.17635305,-0.80366355,0.43690813,0.010614495,-0.30606502,1.1217108,2.6981091,0.81383014,0.023202375,-0.15693949,0.8229681,-0.15728757,-0.052529838,1.3677233,-0.48438576,-0.18371114,-0.9048442,0.45841277,0.5610387,-0.2541878,-0.8076808,0.09564248,-0.079068035,-0.1475075,-0.6692549,0.48269594,-0.08478664,-0.47013196,History
-0.15939885,0.4688429,-0.0013925319,-0.039460458,-1.0401183,-0.06707538,0.53806186,-0.59605014,0.15765995,-0.096125185,0.09911839,-0.29833728,-0.5803682,-0.03234842,0.76238805,0.20199165,0.354992,0.31477153,0.39698258,0.21357287,-0.58811533,-0.31701118,1.1025369,-0.42114958,1.7733706,0.78429914,0.047593813,-0.49365577,0.08586536,-0.33500797,-1.1124805,-0.38996246,1.2712845,-0.81914645,0.8508658,-0.029080445,0.053347845,-0.53708,-0.048659787,-1.0162216,-0.014382341,-0.8575283,-0.39382276,0.0012053975,0.89341724,-0.77847695,0.69242907,0.22592092,0.07128741,-0.3685127,The Rat Race
-0.7976631,0.17211552,-0.07901903,0.2746083,0.27306354,-0.4217437,0.40501934,-0.029100342,-0.31020433,-0.26651806,-0.26168358,0.19997847,0.28135577,-0.7876237,0.6561007,-0.9617984,-0.5253071,-0.35468274,-0.2637959,-0.06700962,-0.10061423,-0.15501894,2.1954439,-0.61935675,0.8719726,0.37995663,0.3132346,0.016961142,-0.07828592,0.21373868,0.47563937,0.1934138,0.12973128,-0.75769895,0.70808804,-0.013955153,-0.8103729,-0.12215826,-0.40463734,0.26202437,0.7576398,-0.19444071,-0.4411607,-0.25018346,-0.283238,0.13912162,0.19062574,0.0558696,1.7196475,-0.3105436,Household Management
